Format,Catalog,ScientificName,CommonName,Male,Female,Adult,Immature,Call,Song,Mechanical,Behaviors,Environmental,FX,People/Interview,ERSubtitles,FXSubtitles,PplSubtitles,Country,State,Locality,Latitude,Longitude,Captive,RecordistLast,RecordistFirst,RecordistMiddle,Year,Month,Day,Time,Length,Quality
Audio ,165049,Campylorhynchus rufinucha ; Leptotila verreauxi ; Thamnophilus doliatus , Rufous-naped Wren;  White-tipped Dove;  Barred Antshrike,,,,,,,,,Y,,,Dry forest dawn chorus,,,Costa Rica,Guanacaste,,,,,Ross,"David L., Jr.",,1996,4,13,709,8:29,5
Audio ,62018,Cercomacra tyrannina , Dusky Antbird,Y,Y,Y,,,Y,,song,,,,,,,Venezuela,,,6.38,-58.68,,Schwartz,Paul,A,1967,11,17,06:55,5:23,5
Audio ,62017,Cercomacra tyrannina , Dusky Antbird,Y,Y,Y,,,Y,,song,,,,,,,Venezuela,,,6.38,-58.68,,Schwartz,Paul,A,1967,11,16,06:00,3:36,5
Audio ,62013,Cercomacra tyrannina , Dusky Antbird,Y,Y,Y,,Y,Y,,call;song,,,,,,,Venezuela,,,7.9666667,-61.8833333,,Schwartz,Paul,A,1966,7,13,07:45,4:40,5
Audio ,62008,Cercomacra tyrannina , Dusky Antbird,,,,,,,,,,,,,,,Venezuela,,,7.9666667,-61.8833333,,Schwartz,Paul,A,1961,4,28,05:30,1:05,5
Audio ,29130,Thamnophilus doliatus , Barred Antshrike,,,Y,,,Y,,song,,,,,,,Peru,Loreto,,-3.1,-72.9166667,,"Parker, III",Theodore,A,1982,5,19,11:45,:21,5
Audio ,7228,Taraba major , Great Antshrike,,,,,Y,,,call,,,,,,,Venezuela,Distrito Federal,,10.58,-66.93,,Schwartz,Paul,A,1958,7,23,17:30,:45,5
Audio ,7053,Cercomacra tyrannina , Dusky Antbird,,,,,,,,,,,,,,,Costa Rica,,,,,,Davis,L. Irby,,1958,3,25,00:00,:20,5
Audio ,134643,Cercomacra tyrannina , Dusky Antbird,Y,Y,Y,,Y,Y,,call;duet;song,,,,,,,Suriname,Sipaliwini,,,,,Hanks,Cullen,K,2006,2,21,00:00,4:02,4
Audio ,164013,Thamnophilus doliatus , Barred Antshrike,Y,Y,Y,,,Y,,duet;song,,,,,,,Costa Rica,Guanacaste,,,,,Ross,"David L., Jr.",,1996,4,1,600,1:28,4
Audio ,128084,Taraba major , Great Antshrike,,,,,,Y,,song,,,,,,,Brazil,Alagoas,,-9.2127778,-35.8727778,,Marantz,Curtis,A,2001,3,13,06:11,8:49,4
Audio ,127527,Thamnophilus doliatus , Barred Antshrike,,,,,,,,,,,,,,,Brazil,Amazonas,,-3.7947222,-60.2966667,,Marantz,Curtis,A,2000,11,22,00:00,1:25,4
Audio ,117018,Cercomacra tyrannina , Dusky Antbird,Y,Y,Y,,,Y,,duet;song,,,,,,,Brazil,Amazonas,,-1.8858333,-61.7375,,Marantz,Curtis,A,1996,11,12,16:13,1:20,4
Audio ,88840,Taraba major , Great Antshrike,,,Y,,,Y,,song,,,,,,,Brazil,Mato Grosso,,,,,Marantz,Curtis,A,1997,11,9,10:37,11:29,4
Audio ,88703,Thamnophilus doliatus , Barred Antshrike,Y,Y,Y,,,Y,,song,,,,,,,Brazil,São Paulo,,,,,Marantz,Curtis,A,1998,1,24,06:58,2:32,4
Audio ,88217,Cercomacra tyrannina , Dusky Antbird,Y,,Y,,,Y,,song,,,,,,,Brazil,Amazonas,,-3.1411111,-60.4697222,,Marantz,Curtis,A,1997,8,24,10:41,5:24,4
Audio ,72418,Cercomacra tyrannina , Dusky Antbird,Y,Y,Y,,Y,Y,,call;duet;song,,,,,,,Guyana,Upper Takutu-Upper Essequibo,,,,,Finch,Davis,W,1995,4,25,10:00,1:18,4
Audio ,113214,Cercomacra tyrannina , Dusky Antbird,,,,,,Y,,song,,,,,,,Brazil,Amazonas,,0.6722222,-66.595,,Marantz,Curtis,A,1998,12,31,06:53,2:31,4
Audio ,113212,Cercomacra tyrannina , Dusky Antbird,,,,,,Y,,song,,,,,,,Brazil,Amazonas,,0.6722222,-66.595,,Marantz,Curtis,A,1998,12,31,06:43,3:59,4
Audio ,89177,Taraba major , Great Antshrike,,,Y,,,Y,,song,,,,,,,Brazil,Mato Grosso,,,,,Marantz,Curtis,A,1998,1,6,10:28,4:11,4
Audio ,80292,Cercomacra tyrannina , Dusky Antbird,,,,,,Y,,song,,,,,,,Ecuador,Esmeraldas,,0.9,-79.6166667,,Parker,"Theodore A., III",,1991,2,5,00:00,2:02,4
Audio ,80291,Cercomacra tyrannina , Dusky Antbird,,,,,,Y,,song,,,,,,,Ecuador,Esmeraldas,,0.9,-79.6166667,,Parker,"Theodore A., III",,1991,2,5,00:00,1:25,4
Audio ,62021,Cercomacra tyrannina , Dusky Antbird,Y,Y,Y,,Y,Y,,call;song,,,,,,,Venezuela,,,7.1333333,-66.9333333,,Schwartz,Paul,A,1968,7,13,05:55,2:49,4
Audio ,62020,Cercomacra tyrannina , Dusky Antbird,Y,Y,Y,,,Y,,song,,,,,,,Venezuela,,,7.9666667,-61.8833333,,Schwartz,Paul,A,1968,6,1,07:00,3:32,4
